Pozitie,Severitate def,Severitate inc.,Mod 1,Mod 2,Mod 3,Mod 4,Mod 5,Mod 6,Mod 7,Mod 8
0.1,0.00334597102080933,0,0.002393,0.001227,0.00054,0.000099,0.000015,0.000075,0.000336,0.000652
0.15,0.00334597102080933,0,0.001899,0.000254,0.000038,0.000552,0.001173,0.001254,0.000798,0.000219
0.4,0.00334597102080933,0,0.000644,0.00102,0.000683,0.000299,0.00148,0.000037,0.001166,0.000771
0.55,0.00334597102080933,0,0.00024,0.001535,0.000256,0.00108,0.000632,0.00064,0.001072,0.00024
0.613,0.00334597102080933,0,0.000141,0.001343,0.000991,0.000146,0.001467,0.000171,0.000805,0.001136
0.133,0.00334597102080933,0.001672986,0.002224,0.000466,0.000003,0.000336,0.001015,0.001417,0.00131,0.00077
0.28,0.00512393304842966,0.001672986,0.004237,0.002804,0.004348,0.003654,0.002554,0.003922,0.004598,0.002963
0.41,0.00334597102080933,0.001672986,0.002522,0.003063,0.002483,0.002346,0.003381,0.001844,0.003377,0.0023
0.57,0.00334597102080933,0.001672986,0.000218,0.00167,0.000507,0.000837,0.00116,0.000208,0.001627,0.00002
0.962,0.00119113405711209,0.004332717,0.000412,0.000412,0.000414,0.000419,0.000429,0.000446,0.000472,0.000507